Id,Model,Price,Age_08_04,Mfg_Year,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,2002,46986,90,2000,3,5,210,1165
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,2002,72937,90,2000,3,5,210,1165
3, TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,2002,41711,90,2000,3,5,210,1165
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,2002,48000,90,2000,3,5,210,1165
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,2002,38500,90,2000,3,5,210,1170
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,2002,61000,90,2000,3,5,210,1170
7, TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,2002,94612,90,2000,3,5,210,1245
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,2002,75889,90,2000,3,5,210,1245
9, TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,2002,19700,192,1800,3,5,100,1185
10, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,2002,71138,69,1900,3,5,185,1105
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,2002,31461,192,1800,3,6,100,1185
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,2002,43610,192,1800,3,6,100,1185
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,2002,32189,192,1800,3,6,100,1185
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,2002,23000,192,1800,3,6,100,1185
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,2002,34131,192,1800,3,6,100,1185
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,2002,18739,192,1800,3,6,100,1185
17, TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,2002,34000,192,1800,3,5,100,1185
18, TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,2002,21716,110,1600,3,5,85,1105
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,2002,25563,110,1600,3,5,19,1065
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,2002,64359,110,1600,3,5,85,1105
21, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,2002,67660,110,1600,3,5,85,1105
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,2002,43905,110,1600,3,5,100,1170
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,2002,56349,110,1600,3,5,85,1120
24, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,2002,32220,110,1600,3,5,85,1120
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,2002,25813,110,1600,3,5,85,1120
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,2002,28450,110,1600,3,5,85,1120
27, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,2002,34545,110,1600,3,5,85,1120
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,2002,41415,110,1600,3,5,85,1120
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,2002,44142,110,1600,3,5,85,1120
